model,roi,signature,estimate,percentile_95%CI,bca_95%CI,p_value
LR,gtv,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_LargeDependenceHighGrayLevelEmphasis', 'original_gldm_DependenceVariance']",0.7333333333333334,[0.575      0.91666667],[0.52083333 0.83857089],0.011
L-SVM,gtv,"['original_glcm_MCC', 'original_glcm_Imc1', 'original_glszm_GrayLevelVariance']",0.7708333333333334,[0.64166667 0.94166667],[0.45444163 0.84166667],0.008
RF,gtv,"['original_shape_Flatness', 'original_shape_MajorAxisLength', 'original_ngtdm_Busyness']",0.8708333333333333,[0.84247917 1.        ],[0.68523817 0.875     ],0.001
LR,trad,"['original_glcm_Imc1', 'original_firstorder_InterquartileRange', 'original_glcm_Imc2']",0.7291666666666667,[0.5125     0.88753472],[0.54830398 0.8625    ],0.015
L-SVM,trad,"['original_firstorder_Median', 'original_gldm_LargeDependenceLowGrayLevelEmphasis', 'original_gldm_DependenceEntropy']",0.8041666666666668,[0.55833333 0.91114583],[0.6875     0.92777778],0.002
RF,trad,"['original_glcm_Imc1', 'original_shape_MajorAxisLength', 'original_glcm_MaximumProbability']",0.8020833333333334,[0.85277778 1.        ],[0.71875 0.71875],0.006
